created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 27 17:05:01 +0000 2023;1630252678847815680;"It's crazy how Kylian Mbappe grew up admiring Ronaldo in his prime and now Mbappe in his prime is competing with 35 yr old Lionel Messi!🐐            FIFA THE BEST! https://t.co/ovkJzgeGtx";1;8;66;1012;en;1420334977850482689;1630252678847815680;MightyLeftFut;https://twitter.com/MightyLeftFut/status/1630252678847815680
Mon Feb 27 16:46:35 +0000 2023;1630248039981121536;"🚨 TOTW 18 could be crazy   • Mbappe 🇫🇷 93 - ⚽️⚽️🅰️ • Messi 🇦🇷 92 - ⚽️🅰️🅰️ • Ronaldo 🇵🇹 92 - ⚽️⚽️⚽️ • Coman 🇫🇷 89 - ⚽️🅰️ • Muller 🇩🇪 88 - 🅰️🅰️ • Foden 🏴󠁧󠁢󠁥󠁮󠁧󠁿 87 - ⚽️🅰️ • Werner 🇩🇪 87 - ⚽️🅰️ • Candreva 🇮🇹 86 - ⚽️🅰️🅰️ • Ings 🏴󠁧󠁢󠁥󠁮󠁧󠁿 84 - ⚽️⚽️  Please EA…  #FIFA23";9;69;57;3836;en;1038289470284607488;1630248039981121536;FUT24News;https://twitter.com/FUT24News/status/1630248039981121536
Mon Feb 27 16:20:57 +0000 2023;1630241586167820288;"My favourite genre of Manchester United fans are those who still love and respect Cristiano Ronaldo. https://t.co/MBDYrnGGjz";25;246;607;10336;en;1514045582968598530;1630241586167820288;CFC_Janty;https://twitter.com/CFC_Janty/status/1630241586167820288
Mon Feb 27 16:04:19 +0000 2023;1630237400298569728;"Throwback to when Cristiano Ronaldo asked to be subbed off following a battle against Chelsea’s Ashley Cole. 👀 https://t.co/kgoHGCKuNJ";152;136;1094;12348;en;471436748;1630237400298569728;FootyHumour;https://twitter.com/FootyHumour/status/1630237400298569728
Mon Feb 27 15:36:28 +0000 2023;1630230391654064129;"Cristiano Ronaldo could be awarded a Carabao Cup medal due to EFL rule should #mufc allow it.  https://t.co/q0qd4SVUXF";16;64;74;1375;en;1230516935072321537;1630230391654064129;UtdDistrict;https://twitter.com/UtdDistrict/status/1630230391654064129
Mon Feb 27 15:25:33 +0000 2023;1630227644955648000;"🔥🏆🔥 Most wins of the FIFA THE BEST award since its inception:  🇦🇷 Lionel Messi - 6 🥇 times 🇵🇹 Cristiano Ronaldo - 5 🥈 times 🇫🇷 Zinedine Zidane - 3 times 🇧🇷 Ronaldo Nazario - 3 times  🔥🏆🔥 If Lionel Messi wins the award today, it’ll be his record 7th win! 🐐 https://t.co/jhl2NxSbPj";2;5;88;796;en;1215246564706410498;1630227644955648000;TheFTBLIndex;https://twitter.com/TheFTBLIndex/status/1630227644955648000
Mon Feb 27 15:18:56 +0000 2023;1630225980156530689;"Portugal is the only country in the world that has both a player and a coach to win all of football's top 3 leagues:  • José Mourinho (3x🏴󠁧󠁢󠁥󠁮󠁧󠁿, 2x🇮🇹, 1x🇪🇸) • Cristiano Ronaldo (3x🏴󠁧󠁢󠁥󠁮󠁧󠁿, 2x🇮🇹, 2x🇪🇸)  🐐🇵🇹🐐 https://t.co/ifgf8sNsGI";6;10;456;3706;en;1417596474091786248;1630225980156530689;Iconic_Mourinho;https://twitter.com/Iconic_Mourinho/status/1630225980156530689
Mon Feb 27 14:41:47 +0000 2023;1630216631342301184;"@TeamCRonaldo I speak for every United fan when I say Cristiano Ronaldo is the greatest ever to wear the victorious red.";2;50;14;841;en;1606563819056238592;1630188979005034496;aymallseven;https://twitter.com/aymallseven/status/1630216631342301184
Mon Feb 27 14:28:59 +0000 2023;1630213408384593921;"Daily reminder that Cristiano Ronaldo is the GOAT and no one else comes close.  🐐. https://t.co/B9PbwbH8Ia";13;159;458;5526;en;2192335506;1630213408384593921;TeamCRonaldo;https://twitter.com/TeamCRonaldo/status/1630213408384593921
Mon Feb 27 14:06:25 +0000 2023;1630207729879994370;"🇮🇩 Indonesia are a team on the rise.   - Qualified top of group for U20 Asia Cup  - Impressed in an U20 tournament in Spain back in November  - Exciting talent like Marselino Ferdinan and Ronaldo Kwateh moving to Europe  One to watch at the upcoming U20 Asia Cup. 👀 https://t.co/u3EnJWStZX";6;21;132;1005;en;1557836689;1630207729879994370;BenBocsak;https://twitter.com/BenBocsak/status/1630207729879994370
